"url","title","published_at","source","summary","content_text","feed_url","is_feed"
"https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026","Novel Drug Approvals for 2026","2026-01-12T00:00:00Z","FDA (CDER)","FDA CDER landing page listing novel drug approvals for 2026; useful for monitoring new therapies and labeling updates.","","https://www.fda.gov/about-fda/contact-fda/stay-informed/rss-feeds","false"
"https://www.fda.gov/drugs/drug-safety-and-availability/2023-drug-safety-communications","2023 Drug Safety Communications","2024-01-19T00:00:00Z","FDA (Drug Safety)","Index page of FDA Drug Safety Communications for 2023; good for safety signals, label changes, and risk communications.","","https://www.fda.gov/about-fda/contact-fda/stay-informed/rss-feeds","false"
"https://clinicaltrials.gov/search?term=Genentech","ClinicalTrials.gov search: Genentech","2026-01-12T00:00:00Z","ClinicalTrials.gov","Search results for Genentech-sponsored or Genentech-related trials; use for pipeline tracking and trial milestone monitoring.","","","false"
"https://www.roche.com/media/releases","Roche media releases","2026-01-22T00:00:00Z","Roche","Roche press releases (often includes Genentech-related product and trial updates). Use to seed event ingestion.","","","false"
"https://www.gene.com/media/press-releases","Genentech press releases","2026-01-23T00:00:00Z","Genentech","Genentech newsroom / press releases landing page for company and product announcements.","","","false"
"https://www.fiercepharma.com/rss","Fierce Pharma RSS","2026-02-12T00:00:00Z","Fierce Pharma","RSS entry point for Fierce Pharma. Choose a specific sub-feed for pharma company and product news.","","https://www.fiercepharma.com/rss","true"
"https://www.reuters.com/business/healthcare-pharmaceuticals/roche-sees-high-single-digit-earnings-growth-2026-2026-01-29/","Reuters company page: Roche","2023-03-12T00:00:00Z","Reuters","Company news hub for Roche (Genentech parent). Useful for major regulatory, earnings, and trial readout events.","","","false"
"https://www.ema.europa.eu/en/news-events","EMA news and events","2025-03-12T00:00:00Z","European Medicines Agency (EMA)","EMA news/events hub for EU regulatory updates; complements FDA monitoring for global signals affecting products/markets.","","","false"
"https://www.cancer.gov/news-events","NCI news and events","2025-04-12T00:00:00Z","National Cancer Institute (NCI)","Cancer research news and event announcements; relevant for oncology developments in Genentech's therapy areas.","","","false"
"https://www.ashclinicalnews.org/","ASH Clinical News","2025-11-12T00:00:00Z","American Society of Hematology (ASH)","Heme/onc clinical news and meeting coverage; relevant for antibody, oncology and hematology indications and trial readouts.","","","false"
"https://pubmed.ncbi.nlm.nih.gov/rss/search/1fi6WUEpgeOFdqDa6tWvCLOSCMLSy4G7RStupUDKnh9qHQRgRB/?limit=15&utm_campaign=pubmed-2&fc=20260203225008","PubMed RSS: (ocrelizumab OR ofatumumab OR cladribine) AND multiple sclerosis","","PubMed","PubMed RSS feed for MS therapies (ocrelizumab/ofatumumab/cladribine).","","https://pubmed.ncbi.nlm.nih.gov/rss/search/1fi6WUEpgeOFdqDa6tWvCLOSCMLSy4G7RStupUDKnh9qHQRgRB/?limit=15&utm_campaign=pubmed-2&fc=20260203225008","true"
